BIB NO.,AGE,GENDER,CATEGORY,SWIM,T1,BIKE,T2,RUN
1268,47,F,F OPEN,00:23:43,00:13:44,01:55:30,00:06:12,01:12:02
1269,47,F,F OPEN,00:21:24,00:08:14,01:31:53,00:02:58,00:58:16
1270,47,F,F OPEN,00:23:55,00:07:56,01:37:09,00:02:47,00:59:43
1271,47,F,F OPEN,00:20:14,00:08:09,01:38:15,00:04:24,01:00:12
1272,47,F,F OPEN,00:18:09,00:06:04,01:17:18,00:01:29,00:51:10
1273,47,F,F OPEN,00:22:26,00:09:01,01:22:28,00:03:38,00:59:19
1274,47,F,F OPEN,00:20:47,00:07:53,01:25:46,00:02:32,00:49:46
1275,47,F,F OPEN,00:22:42,00:12:27,01:48:44,00:03:38,01:02:45
1278,47,F,F OPEN,00:18:50,00:08:27,01:28:06,00:02:19,00:57:39
1282,47,F,F OPEN,00:22:09,00:09:22,01:47:24,00:03:47,01:09:14
1283,47,F,F OPEN,00:19:25,00:06:45,01:21:39,00:02:06,00:54:58
1284,47,F,F OPEN,00:26:29,00:09:41,01:49:48,00:06:57,01:07:34
1285,47,F,F OPEN,00:22:34,00:10:00,01:37:10,00:05:04,00:58:54
1286,47,F,F OPEN,00:26:38,00:20:09,02:30:30,00:06:32,01:39:19
1287,47,F,F OPEN,00:25:09,00:11:39,01:46:15,00:03:12,01:15:45
1290,47,F,F OPEN,00:23:29,00:08:41,01:42:45,00:03:35,01:08:45
1291,47,F,F OPEN,00:16:50,00:05:09,01:13:55,00:01:09,00:46:48
1294,48,F,F OPEN,00:20:09,00:09:46,01:32:19,00:03:15,01:01:36
1295,48,F,F OPEN,00:25:29,00:22:53,02:05:38,00:07:26,01:13:13
1296,42,F,F OPEN,00:25:46,00:09:28,01:41:55,00:03:09,00:55:42
1298,48,F,F OPEN,00:20:07,00:08:44,01:31:58,00:02:04,00:57:59
1299,48,F,F OPEN,00:21:15,00:11:34,01:47:36,00:03:15,01:03:52
1300,48,F,F OPEN,00:18:16,00:11:34,01:39:32,00:05:26,00:57:09
1302,48,F,F OPEN,00:21:18,00:07:07,01:20:23,00:01:45,00:48:04
1305,48,F,F OPEN,00:18:44,00:07:31,01:30:17,00:02:46,00:53:49
1307,48,F,F OPEN,00:25:43,00:15:03,01:59:51,00:04:56,01:15:10
1310,48,F,F OPEN,00:17:44,00:05:39,01:12:37,00:01:33,00:46:03
1312,48,F,F OPEN,00:21:05,00:06:11,01:26:24,00:01:55,00:46:55
1313,48,F,F OPEN,00:20:27,00:08:47,01:39:46,00:02:10,01:04:37
1314,48,F,F OPEN,00:26:53,00:12:55,01:48:17,00:05:09,01:14:23
1315,48,F,F OPEN,00:25:18,00:12:36,01:36:40,00:04:48,01:00:39
1316,48,F,F OPEN,00:29:41,00:11:35,02:02:48,00:03:20,01:15:14
1317,48,F,F OPEN,00:26:46,00:20:09,02:30:30,00:06:32,01:39:27
1318,48,F,F OPEN,00:21:24,00:09:44,01:43:21,00:04:14,01:11:02
1319,48,F,F OPEN,00:22:20,00:09:39,01:30:24,00:03:30,01:07:59
1320,48,F,F OPEN,00:23:48,00:09:34,01:28:23,00:04:18,00:56:52
1322,48,F,F OPEN,00:28:19,00:15:29,01:34:01,00:03:42,00:54:05
1324,48,F,F OPEN,00:21:56,00:11:26,01:30:31,00:03:37,01:14:33
1325,49,F,F OPEN,00:24:54,00:08:18,01:35:17,00:03:15,01:04:44
1326,49,F,F OPEN,00:18:12,00:07:16,01:25:57,00:02:02,00:54:00
1329,49,F,F OPEN,00:25:21,00:13:40,01:49:36,00:04:09,01:12:23
1331,49,F,F OPEN,00:17:50,00:04:18,01:12:05,00:01:11,00:43:17
1333,49,F,F OPEN,00:21:40,00:10:19,01:54:26,00:03:39,01:12:24
1334,49,F,F OPEN,00:19:56,00:11:15,01:35:44,00:03:30,01:07:11
1336,49,F,F OPEN,00:17:48,00:06:22,01:14:47,00:01:49,00:50:14
1338,49,F,F OPEN,00:20:03,00:09:51,01:42:11,00:05:26,01:02:32
1339,49,F,F OPEN,00:21:13,00:10:18,01:28:51,00:03:50,01:11:52
1340,49,F,F OPEN,00:19:08,00:08:22,01:43:23,00:02:55,01:09:32
1342,49,F,F OPEN,00:20:22,00:11:11,01:31:02,00:03:31,00:58:10
1343,49,F,F OPEN,00:21:53,00:10:07,01:47:18,00:05:38,01:08:42
1344,49,F,F OPEN,00:19:42,00:07:17,01:32:35,00:01:51,00:59:20
1345,49,F,F OPEN,00:21:58,00:07:55,01:23:38,00:03:32,01:02:47
1348,49,F,F OPEN,00:20:07,00:05:43,01:18:00,00:01:51,00:58:07
1349,49,F,F OPEN,00:27:15,00:11:13,01:48:39,00:04:26,01:16:46
1351,49,F,F OPEN,00:23:43,00:11:28,01:41:35,00:03:44,01:08:13
1352,49,F,F OPEN,00:19:56,00:12:00,01:41:03,00:07:10,01:07:14
1353,49,F,F OPEN,00:21:09,00:13:08,01:33:11,00:06:01,01:14:24
1354,49,F,F OPEN,00:22:20,00:16:47,01:35:27,00:05:44,01:07:37
1355,49,F,F OPEN,00:20:29,00:09:50,01:28:39,00:02:58,01:00:39
1356,49,F,F OPEN,00:20:26,00:07:21,01:35:03,00:02:16,00:58:25
1358,49,F,F OPEN,00:24:12,00:09:03,01:41:21,00:03:03,00:59:15
1359,49,F,F OPEN,00:29:33,00:18:03,01:50:02,00:14:11,01:31:14
1360,49,F,F OPEN,00:20:41,00:09:15,01:30:26,00:02:13,01:08:25
1363,49,F,F OPEN,00:20:53,00:06:36,01:26:17,00:01:57,00:46:29
1365,49,F,F OPEN,00:20:28,00:09:52,01:49:37,00:04:54,01:28:03
1366,49,F,F OPEN,00:21:22,00:06:22,01:30:56,00:04:43,00:55:51
1367,49,F,F OPEN,00:21:03,00:06:52,01:24:15,00:02:17,00:46:00
1368,49,F,F OPEN,00:19:59,00:07:07,01:23:42,00:02:41,00:51:11
1370,50,F,F OPEN,00:19:09,00:14:34,01:41:39,00:07:29,01:19:25
1371,50,F,F OPEN,00:28:35,00:09:38,01:35:36,00:02:46,01:14:26
1374,50,F,F OPEN,00:22:57,00:10:06,01:45:41,00:03:27,01:17:54
1375,50,F,F OPEN,00:33:29,00:15:09,02:15:58,00:06:28,01:24:05
1376,50,F,F OPEN,00:24:46,00:07:55,01:25:58,00:02:26,00:59:52
1378,50,F,F OPEN,00:27:36,00:13:07,01:40:24,00:02:55,00:55:16
1379,50,F,F OPEN,00:24:06,00:08:05,01:32:22,00:02:34,01:04:37
1380,50,F,F OPEN,00:25:20,00:09:37,01:33:45,00:04:56,01:14:24
1381,50,F,F OPEN,00:23:55,00:06:36,01:26:09,00:02:01,00:50:13
1382,50,F,F OPEN,00:25:03,00:15:12,01:38:24,00:05:24,01:31:05
1384,50,F,F OPEN,00:17:21,00:05:22,01:11:46,00:01:27,00:44:10
1385,50,F,F OPEN,00:21:39,00:09:57,01:54:06,00:04:44,01:00:48
1388,50,F,F OPEN,00:24:39,00:12:17,01:41:15,00:04:34,01:06:45
1390,50,F,F OPEN,00:17:29,00:05:05,01:17:02,00:01:45,00:43:32
1391,50,F,F OPEN,00:33:13,00:20:05,02:31:00,00:09:27,01:44:38
1392,50,F,F OPEN,00:21:45,00:11:25,01:51:45,00:05:24,01:02:45
1393,50,F,F OPEN,00:20:05,00:08:39,01:35:53,00:03:11,01:00:46
1394,50,F,F OPEN,00:20:06,00:07:23,01:19:41,00:04:43,00:59:30
1395,50,F,F OPEN,00:22:59,00:08:12,01:43:22,00:03:46,01:14:26
1396,50,F,F OPEN,00:19:41,00:08:10,01:34:03,00:02:44,01:16:06
1398,50,F,F OPEN,00:23:36,00:12:57,02:02:59,00:06:23,01:18:57
1400,50,F,F OPEN,00:20:45,00:07:52,01:31:35,00:02:04,01:02:38
1401,51,F,F OPEN,00:20:55,00:19:37,01:19:10,00:02:20,00:49:42
1405,51,F,F OPEN,00:20:36,00:07:53,01:33:25,00:02:11,01:01:02
1406,51,F,F OPEN,00:24:09,00:11:13,01:51:29,00:02:26,01:05:51
1407,51,F,F OPEN,00:20:41,00:07:12,01:28:12,00:02:20,00:53:43
1408,51,F,F OPEN,00:20:05,00:09:29,01:37:32,00:02:59,01:09:25
1409,51,F,F OPEN,00:31:25,00:15:42,01:45:31,00:14:04,01:30:10
1412,51,F,F OPEN,00:19:18,00:06:50,01:27:55,00:01:47,00:51:57
1420,51,F,F OPEN,00:24:05,00:16:07,02:03:42,00:03:26,01:22:36
1421,51,F,F OPEN,00:24:55,00:15:43,01:47:21,00:04:34,01:07:28
1422,51,F,F OPEN,00:30:28,00:13:05,01:48:28,00:05:49,01:17:31
1424,51,F,F OPEN,00:21:52,00:09:16,01:30:46,00:02:52,01:12:12
1425,51,F,F OPEN,00:22:29,00:11:15,01:38:17,00:04:15,01:00:59
1426,52,F,F OPEN,00:21:57,00:06:49,01:32:31,00:05:55,01:11:02
1427,52,F,F OPEN,00:25:19,00:15:42,01:39:49,00:07:08,01:13:34
1429,52,F,F OPEN,00:21:13,00:07:24,01:29:58,00:02:25,01:04:39
1433,52,F,F OPEN,00:20:23,00:07:46,01:35:02,00:02:10,00:59:28
1434,52,F,F OPEN,00:20:36,00:12:15,01:34:25,00:05:36,01:03:23
1435,52,F,F OPEN,00:23:19,00:11:46,01:57:47,00:03:46,01:13:02
1436,52,F,F OPEN,00:24:27,00:15:14,01:38:07,00:08:42,01:23:15
1437,52,F,F OPEN,00:24:21,00:09:57,01:50:09,00:04:55,01:07:56
1438,52,F,F OPEN,00:24:50,00:08:22,01:29:56,00:05:17,00:58:05
1439,52,F,F OPEN,00:29:22,00:10:16,01:35:28,00:05:19,01:05:05
1440,52,F,F OPEN,00:22:28,00:08:52,01:22:24,00:02:26,00:59:37
1441,52,F,F OPEN,00:21:34,00:06:55,01:21:19,00:02:28,01:00:49
1442,52,F,F OPEN,00:25:51,00:08:39,01:29:30,00:03:48,01:04:56
1443,52,F,F OPEN,00:16:26,00:06:00,01:19:39,00:01:45,00:50:27
1444,52,F,F OPEN,00:19:56,00:08:58,01:38:27,00:03:05,01:11:35
1446,52,F,F OPEN,00:20:22,00:05:35,01:21:37,00:01:29,00:49:21
1448,52,F,F OPEN,00:23:40,00:12:05,01:27:39,00:04:53,01:06:00
1449,52,F,F OPEN,00:23:05,00:08:18,01:32:15,00:01:59,00:44:37
1450,52,F,F OPEN,00:21:16,00:10:40,01:45:00,00:04:00,01:38:08
1451,53,F,F OPEN,00:22:00,00:09:04,01:38:19,00:02:54,01:17:41
1453,53,F,F OPEN,00:21:43,00:12:38,01:32:15,00:04:25,01:04:51
1454,53,F,F OPEN,00:18:53,00:05:59,01:17:38,00:01:45,00:49:32
1455,53,F,F OPEN,00:22:35,00:09:03,01:32:10,00:03:47,00:55:42
1456,53,F,F OPEN,00:25:46,00:13:54,01:55:02,00:05:58,01:13:39
1457,53,F,F OPEN,00:17:46,00:07:58,01:23:23,00:04:41,01:06:15
1458,53,F,F OPEN,00:20:37,00:08:25,01:32:29,00:02:16,01:01:40
1461,53,F,F OPEN,00:26:39,00:19:28,01:37:29,00:10:17,01:02:29
1463,53,F,F OPEN,00:24:16,00:11:41,01:32:00,00:05:07,01:00:40
1464,53,F,F OPEN,00:26:35,00:14:02,01:56:30,00:04:26,01:13:00
1466,53,F,F OPEN,00:20:56,00:19:19,01:37:37,00:08:31,01:11:59
1468,53,F,F OPEN,00:20:27,00:09:00,01:30:20,00:04:46,01:04:39
1470,53,F,F OPEN,00:21:21,00:07:55,01:33:10,00:02:22,00:51:25
1472,54,F,F OPEN,00:22:45,00:08:35,01:36:02,00:04:14,01:13:18
1474,54,F,F OPEN,00:21:49,00:08:28,01:27:58,00:02:30,01:03:26
1475,54,F,F OPEN,00:22:03,00:14:54,01:41:45,00:05:30,01:10:10
1476,54,F,F OPEN,00:23:53,00:09:44,01:33:16,00:03:45,01:01:06
1477,54,F,F OPEN,00:23:29,00:08:41,01:36:20,00:10:01,01:08:46
1478,54,F,F OPEN,00:24:15,00:10:27,01:38:46,00:03:53,01:03:20
1479,54,F,F OPEN,00:25:46,00:19:11,01:49:55,00:09:13,01:18:38
1481,54,F,F OPEN,00:22:54,00:12:54,01:42:40,00:05:09,01:00:40
1482,54,F,F OPEN,00:24:33,00:14:59,01:46:22,00:04:49,01:05:29
1484,54,F,F OPEN,00:17:44,00:06:13,01:15:40,00:01:45,00:52:18
1485,55,F,F OPEN,00:21:20,00:07:40,01:30:55,00:02:12,00:52:58
1490,55,F,F OPEN,00:22:30,00:07:27,01:34:13,00:02:53,01:06:50
1492,55,F,F OPEN,00:26:26,00:10:00,01:44:03,00:03:13,01:03:24
1493,55,F,F OPEN,00:22:41,00:08:19,01:33:42,00:04:15,01:07:12
1494,55,F,F OPEN,00:30:49,00:18:15,02:13:28,00:03:58,01:48:24
1495,55,F,F OPEN,00:23:14,00:08:50,01:31:43,00:04:55,01:20:33
1496,55,F,F OPEN,00:23:49,00:11:18,01:56:16,00:04:59,01:22:44
1497,55,F,F OPEN,00:26:58,00:15:24,01:45:01,00:04:56,01:06:13
1500,56,F,F OPEN,00:20:20,00:06:55,01:26:21,00:02:01,00:54:47
1501,56,F,F OPEN,00:18:58,00:05:34,01:18:24,00:01:29,00:59:25
1502,56,F,F OPEN,00:21:33,00:08:16,01:34:55,00:02:49,01:01:57
1503,56,F,F OPEN,00:36:58,00:19:27,01:32:41,00:07:05,01:09:22
1504,56,F,F OPEN,00:23:52,00:17:15,01:58:17,00:07:04,01:23:56
1510,56,F,F OPEN,00:26:27,00:13:50,01:52:51,00:12:40,01:20:45
1511,57,F,F OPEN,00:17:07,00:05:46,01:14:09,00:01:36,00:45:42
1512,57,F,F OPEN,00:20:34,00:06:01,01:26:44,00:01:55,00:51:47
1513,57,F,F OPEN,00:23:39,00:07:44,01:58:55,00:02:03,01:27:14
1514,57,F,F OPEN,00:21:50,00:07:36,01:10:02,00:01:40,00:56:52
1516,57,F,F OPEN,00:16:35,00:07:05,01:28:40,00:02:21,00:53:36
1518,58,F,F OPEN,00:16:39,00:05:56,01:16:29,00:01:53,00:48:56
1519,58,F,F OPEN,00:18:30,00:06:46,01:28:58,00:01:49,00:55:09
1520,58,F,F OPEN,00:22:30,00:11:17,01:47:01,00:05:22,01:04:39
1522,58,F,F OPEN,00:23:57,00:10:11,02:01:05,00:03:36,01:15:17
1525,58,F,F OPEN,00:25:42,00:13:41,01:51:56,00:07:35,01:15:31
1526,58,F,F OPEN,00:27:09,00:15:31,01:59:18,00:03:58,02:07:17
1527,58,F,F OPEN,00:22:43,00:10:22,01:33:54,00:03:44,01:12:17
1528,59,F,F OPEN,00:21:03,00:07:57,01:31:32,00:02:05,01:08:50
1529,59,F,F OPEN,00:20:28,00:05:23,01:13:23,00:01:28,00:48:18
1530,59,F,F OPEN,00:20:58,00:06:30,01:25:06,00:02:15,00:58:25
1531,59,F,F OPEN,00:26:12,00:12:15,01:39:53,00:06:34,01:11:22
1532,59,F,F OPEN,00:21:38,00:07:08,01:30:20,00:02:29,00:58:16
1533,59,F,F OPEN,00:22:00,00:09:06,01:38:29,00:03:36,01:05:37
1537,59,F,F OPEN,00:21:09,00:08:30,01:27:29,00:02:27,01:00:30
1538,59,F,F OPEN,00:19:03,00:07:03,01:37:07,00:02:25,01:05:29
1540,59,F,F OPEN,00:25:30,00:15:47,01:56:54,00:05:32,01:08:58
1541,60,F,F OPEN,00:20:20,00:09:09,01:36:43,00:03:33,01:24:11
1542,60,F,F OPEN,00:19:34,00:10:36,01:22:02,00:03:32,00:55:28
1545,60,F,F OPEN,00:17:09,00:07:20,01:24:57,00:02:41,00:54:09
1546,60,F,F OPEN,00:22:12,00:11:18,01:52:39,00:07:35,01:29:54
1547,61,F,F OPEN,00:24:03,00:14:44,01:37:40,00:04:04,01:07:33
1550,61,F,F OPEN,00:22:23,00:12:01,01:33:57,00:05:50,01:15:51
1552,62,F,F OPEN,00:23:11,00:13:03,01:36:33,00:03:22,00:51:55
1553,62,F,F OPEN,00:22:09,00:11:56,01:55:48,00:03:29,01:40:20
1556,62,F,F OPEN,00:23:52,00:11:47,01:32:35,00:05:24,01:00:06
1557,62,F,F OPEN,00:20:14,00:09:14,01:34:45,00:03:22,01:02:26
1558,62,F,F OPEN,00:20:39,00:07:50,01:32:40,00:02:12,01:01:42
1559,62,F,F OPEN,00:24:31,00:13:36,01:49:07,00:05:51,01:11:38
1560,63,F,F OPEN,00:22:36,00:10:05,01:32:22,00:04:03,00:56:10
1561,64,F,F OPEN,00:20:23,00:08:37,01:23:07,00:02:25,01:00:30
1562,64,F,F OPEN,00:20:42,00:09:29,01:32:47,00:02:29,01:02:43
1563,65,F,F OPEN,00:28:12,00:26:01,02:07:19,00:04:28,01:46:54
1564,65,F,F OPEN,00:25:21,00:12:00,01:56:12,00:06:31,01:28:00
1565,66,F,F OPEN,00:25:02,00:14:10,01:54:02,00:04:49,01:21:26
1567,66,F,F OPEN,00:21:49,00:07:06,01:26:20,00:03:35,01:07:15
1569,67,F,F OPEN,00:30:52,00:18:56,02:21:28,00:08:42,01:40:55
1570,68,F,F OPEN,00:22:21,00:06:24,01:22:28,00:01:40,00:54:18
1571,68,F,F OPEN,00:20:39,00:08:32,01:27:53,00:02:29,00:52:32
1572,71,F,F OPEN,00:21:09,00:11:21,01:48:43,00:03:49,01:09:10
1574,76,F,F OPEN,00:21:12,00:08:45,01:35:26,00:04:23,01:26:59
1575,25,F,F OPEN,00:20:30,00:10:49,01:44:48,00:04:21,01:07:28
1576,25,F,F OPEN,00:20:45,00:10:34,01:41:08,00:07:59,01:07:28
1577,25,F,F OPEN,00:21:21,00:14:17,01:48:15,00:05:34,01:04:02
1578,25,F,F OPEN,00:17:14,00:06:31,01:30:59,00:01:07,00:59:02
1579,25,F,F OPEN,00:21:55,00:11:15,01:30:57,00:04:37,00:59:21
1583,25,F,F OPEN,00:23:09,00:08:41,01:36:09,00:03:44,00:57:33
1584,25,F,F OPEN,00:16:15,00:06:09,01:24:40,00:03:25,00:46:10
1585,25,F,F OPEN,00:22:38,00:12:53,01:45:29,00:04:22,01:03:56
1586,25,F,F OPEN,00:22:04,00:07:21,01:33:46,00:03:10,00:51:54
1588,25,F,F OPEN,00:25:19,00:15:46,02:00:20,00:08:20,01:15:51
1589,25,F,F OPEN,00:18:46,00:05:48,01:27:36,00:01:22,00:53:55
1591,25,F,F OPEN,00:19:05,00:06:41,01:27:20,00:03:04,00:44:54
1592,25,F,F OPEN,00:22:25,00:14:03,01:44:38,00:03:46,01:04:02
1595,25,F,F OPEN,00:25:31,00:09:49,01:46:20,00:03:48,01:21:45
1596,25,F,F OPEN,00:20:19,00:10:03,01:37:07,00:05:13,00:55:49
1597,25,F,F OPEN,00:20:47,00:10:34,01:44:44,00:04:22,01:07:28
1598,25,F,F OPEN,00:17:18,00:08:53,01:27:33,00:01:31,00:52:22
1599,25,F,F OPEN,00:19:47,00:09:32,01:32:11,00:03:12,00:52:34
1600,25,F,F OPEN,00:27:01,00:13:35,01:38:27,00:04:42,01:20:07
1603,25,F,F OPEN,00:19:59,00:09:04,01:36:00,00:02:56,01:00:05
1604,25,F,F OPEN,00:23:02,00:07:05,01:27:17,00:02:20,00:54:34
1605,25,F,F OPEN,00:22:48,00:09:41,01:53:18,00:04:58,01:26:21
1607,25,F,F OPEN,00:23:07,00:15:54,01:54:56,00:09:37,01:03:17
1609,25,F,F OPEN,00:18:00,00:05:45,01:19:35,00:01:34,00:55:36
1610,25,F,F OPEN,00:19:59,00:09:43,01:22:24,00:02:46,00:47:16
1612,26,F,F OPEN,00:23:11,00:09:43,01:31:58,00:04:44,00:54:20
1613,26,F,F OPEN,00:23:48,00:08:55,01:26:03,00:04:02,00:56:45
1614,26,F,F OPEN,00:17:53,00:06:02,01:26:12,00:01:57,00:44:02
1615,26,F,F OPEN,00:22:36,00:08:09,01:36:17,00:02:04,01:04:38
1616,26,F,F OPEN,00:22:30,00:09:19,01:26:02,00:03:20,00:51:09
1617,26,F,F OPEN,00:22:42,00:06:57,01:22:50,00:01:46,00:53:42
1618,26,F,F OPEN,00:18:42,00:10:57,01:41:17,00:05:09,01:02:13
1619,26,F,F OPEN,00:22:24,00:09:47,01:39:29,00:02:34,01:11:38
1620,26,F,F OPEN,00:21:51,00:10:38,01:57:25,00:04:30,01:07:03
1622,26,F,F OPEN,00:18:55,00:05:34,01:13:19,00:01:24,00:44:02
1623,26,F,F OPEN,00:20:42,00:14:20,01:54:11,00:03:22,00:59:06
1628,26,F,F OPEN,00:18:57,00:05:35,01:17:02,00:01:36,00:50:42
1629,26,F,F OPEN,00:19:24,00:06:13,01:23:37,00:01:24,00:49:38
1630,26,F,F OPEN,00:18:47,00:09:06,01:29:11,00:02:14,00:57:23
1631,26,F,F OPEN,00:27:25,00:19:31,01:53:26,00:06:12,00:59:15
1632,26,F,F OPEN,00:18:47,00:07:13,01:25:05,00:02:29,00:49:45
1633,26,F,F OPEN,00:22:26,00:12:54,01:32:55,00:02:46,00:54:20
1634,26,F,F OPEN,00:20:45,00:08:09,01:41:40,00:03:46,00:54:01
1635,26,F,F OPEN,00:22:38,00:07:10,01:22:33,00:02:48,00:46:40
1637,26,F,F OPEN,00:17:31,00:04:57,01:09:49,00:01:39,00:44:18
1638,26,F,F OPEN,00:24:57,00:18:21,01:41:44,00:10:36,01:09:48
1639,26,F,F OPEN,00:18:56,00:11:09,02:09:59,00:10:00,01:08:19
1641,26,F,F OPEN,00:21:35,00:08:09,01:31:45,00:02:18,01:04:09
1642,26,F,F OPEN,00:25:28,00:10:56,01:54:22,00:03:58,00:59:22
1643,27,F,F OPEN,00:19:56,00:06:10,01:23:22,00:01:50,00:45:59
1644,27,F,F OPEN,00:26:44,00:11:33,01:45:58,00:06:05,01:05:41
1645,27,F,F OPEN,00:21:16,00:08:16,01:24:41,00:02:57,00:49:37
1648,27,F,F OPEN,00:27:50,00:12:28,02:03:50,00:02:44,01:05:59
1649,27,F,F OPEN,00:20:42,00:09:12,01:43:20,00:02:54,01:04:29
1651,27,F,F OPEN,00:19:56,00:06:30,01:28:48,00:02:10,00:53:59
1652,27,F,F OPEN,00:26:05,00:10:54,01:49:02,00:07:41,01:12:13
1653,27,F,F OPEN,00:25:25,00:09:10,01:43:16,00:03:17,01:06:50
1654,27,F,F OPEN,00:21:33,00:10:12,01:39:08,00:02:39,00:58:31
1657,27,F,F OPEN,00:23:49,00:14:04,01:48:32,00:05:33,01:14:49
1658,27,F,F OPEN,00:19:48,00:09:38,01:35:47,00:04:26,00:54:06
1659,27,F,F OPEN,00:22:08,00:07:34,01:39:12,00:02:15,01:01:39
1660,27,F,F OPEN,00:23:49,00:14:17,01:36:46,00:04:30,01:04:37
1661,27,F,F OPEN,00:22:23,00:05:52,01:22:49,00:01:33,00:47:56
1662,27,F,F OPEN,00:21:42,00:08:15,01:31:40,00:03:15,00:55:23
1664,27,F,F OPEN,00:18:55,00:07:13,01:34:24,00:02:46,00:58:09
1666,27,F,F OPEN,00:18:41,00:09:35,01:40:47,00:02:07,01:04:56
1667,27,F,F OPEN,00:27:18,00:12:48,01:42:24,00:05:35,00:51:13
1670,27,F,F OPEN,00:18:21,00:07:07,01:33:16,00:05:05,01:00:34
1672,27,F,F OPEN,00:22:13,00:14:02,02:00:03,00:08:38,01:23:20
1673,27,F,F OPEN,00:18:32,00:06:20,01:34:54,00:03:05,00:53:06
1674,27,F,F OPEN,00:21:21,00:06:47,01:21:09,00:01:29,00:53:49
1675,27,F,F OPEN,00:17:41,00:05:55,01:19:51,00:01:29,00:48:55
1677,28,F,F OPEN,00:18:57,00:06:51,01:25:00,00:02:27,00:49:33
1678,28,F,F OPEN,00:20:53,00:07:57,01:20:59,00:02:00,00:56:26
1681,28,F,F OPEN,00:23:10,00:08:31,01:27:37,00:01:51,00:52:51
1682,28,F,F OPEN,00:23:45,00:08:22,01:32:05,00:01:37,00:56:45
1686,28,F,F OPEN,00:21:42,00:07:30,01:30:49,00:01:50,01:00:02
1687,29,F,F OPEN,00:23:04,00:07:05,01:21:37,00:01:23,00:44:41
1688,28,F,F OPEN,00:18:33,00:07:40,01:30:17,00:02:40,00:52:56
1689,28,F,F OPEN,00:23:27,00:10:45,02:02:18,00:04:41,01:04:16
1691,28,F,F OPEN,00:26:40,00:14:04,02:01:13,00:03:56,01:22:49
1692,28,F,F OPEN,00:29:36,00:12:15,01:55:10,00:05:43,01:24:16
1693,28,F,F OPEN,00:23:55,00:07:19,01:35:34,00:02:40,00:52:14
1694,28,F,F OPEN,00:21:45,00:08:20,01:43:38,00:02:54,01:09:36
1695,28,F,F OPEN,00:20:04,00:07:45,01:29:41,00:02:11,01:01:40
1696,28,F,F OPEN,00:17:18,00:08:57,01:41:16,00:02:55,01:16:32
1697,28,F,F OPEN,00:19:26,00:07:15,01:36:07,00:03:01,01:02:54
1698,28,F,ATH,00:18:15,00:07:28,01:26:46,00:02:04,01:02:57
1699,28,F,F OPEN,00:23:03,00:07:46,01:35:18,00:03:03,01:04:32
1708,28,F,F OPEN,00:21:14,00:11:17,01:55:30,00:03:15,00:59:28
1711,28,F,F OPEN,00:24:06,00:16:38,01:52:52,00:07:53,01:03:17
1713,28,F,F OPEN,00:19:51,00:06:31,01:29:49,00:02:24,00:57:54
1714,28,F,F OPEN,00:23:11,00:12:32,01:43:34,00:03:19,01:13:40
1717,28,F,F OPEN,00:24:32,00:08:29,01:25:06,00:04:23,00:56:27
1723,28,F,F OPEN,00:18:28,00:06:22,01:17:51,00:01:53,00:50:29
1727,29,F,F OPEN,00:30:38,00:15:53,01:50:50,00:05:21,01:13:32
1729,29,F,F OPEN,00:23:39,00:09:34,01:25:40,00:03:15,01:06:33
1730,29,F,F OPEN,00:23:18,00:10:16,01:39:58,00:04:09,01:10:55
1732,29,F,F OPEN,00:25:03,00:11:08,01:34:32,00:03:24,01:04:38
1733,29,F,F OPEN,00:20:42,00:08:01,01:38:50,00:01:50,00:59:49
1734,29,F,F OPEN,00:24:12,00:12:10,01:38:29,00:06:07,00:50:28
1735,29,F,F OPEN,00:17:36,00:04:53,01:25:22,00:01:34,00:45:27
1736,29,F,F OPEN,00:24:35,00:11:47,01:40:23,00:04:00,00:50:35
1740,29,F,F OPEN,00:18:28,00:09:24,01:32:07,00:02:17,01:00:09
1742,29,F,F OPEN,00:24:32,00:11:09,02:11:07,00:01:52,00:55:56
1744,29,F,F OPEN,00:23:18,00:09:35,01:50:07,00:03:21,00:54:59
1745,29,F,F OPEN,00:26:07,00:10:19,01:48:10,00:04:22,01:09:47
1746,29,F,F OPEN,00:24:44,00:10:34,01:35:09,00:03:13,01:03:06
1747,29,F,F OPEN,00:22:20,00:08:03,01:32:33,00:02:00,00:49:43
1751,29,F,F OPEN,00:20:27,00:09:23,01:30:58,00:02:16,00:50:01
1753,29,F,F OPEN,00:21:57,00:08:23,01:37:26,00:02:41,00:50:01
1754,29,F,F OPEN,00:17:24,00:05:17,01:20:36,00:01:27,00:44:51
1755,29,F,F OPEN,00:21:40,00:08:47,01:36:12,00:02:40,00:59:32
1757,29,F,F OPEN,00:19:21,00:06:53,01:32:44,00:03:36,00:59:32
1758,29,F,F OPEN,00:23:40,00:12:15,01:57:47,00:03:03,01:04:00
1759,29,F,F OPEN,00:18:51,00:06:01,01:24:11,00:01:11,00:42:57
1760,29,F,F OPEN,00:20:21,00:10:39,01:37:58,00:03:01,00:53:15
1761,29,F,F OPEN,00:16:40,00:06:20,01:24:47,00:02:57,00:47:52
1762,29,F,F OPEN,00:22:46,00:13:39,01:58:32,00:04:50,01:12:36
1763,29,F,F OPEN,00:22:25,00:11:19,01:27:07,00:03:17,00:59:33
1764,29,F,F OPEN,00:23:05,00:10:16,01:49:02,00:05:31,01:12:36
